document_number,document_district,document_date,file_name,document_page_number,paragraph_number,event_date,location_text,map_coordinate,type,initiator,initiator_numbers,target,target_numbers,affected_count,government_killed,government_wounded,government_captured,rebels_killed,rebels_wounded,rebels_captured,civilians_killed,civilians_wounded,civilians_captured
7,Embu,Week ending 8 th May 1953,Embu_FCO_141-5766_IMG_0155_1L.jpg,,40/53,05.05.1953,Riakanya,HZR 6546,Contact,23 KAR,,Mau Mau,,,,,,,1,,,,
7,Embu,Week ending 8 th May 1953,Embu_FCO_141-5766_IMG_0155_1L.jpg,,41/53,06.05.1953,Rianyaga School,HZR 7852,Contact,Police,,Mau Mau,,,,,,,1,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,772/54,9.11.54,MWEA,HZS 0204,Contact,Government,,Rebels,3,,,,,3,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,773/54,12.11.54,INOI,HZR 6747,Contact,Government,,Rebels,1,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,773/54,13.11.54,MUTIRA,HZR 7536,Contact,Government,,Rebels,5,,,,,2,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,773/54,13.11.54,KIINE,HZR 6429,Contact,Government,,Rebels,5,,,,,,3,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,773/54,13.11.54,KIINE,HZR 6447,Contact,Government,,Rebels,1,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,773/54,14.11.54,INOI,HZR 7737,Contact,Government,,Rebels,4,,,,,4,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,773/54,16.11.54,MUTIRA,HZR 7242,Contact,Government,,Rebels,2,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,774/54,Week ended 16.11.54,NDIA,,Capture,Government,,Rebels,3,,,,,,,3,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,781/54,13.11.54,KABARE,HZR 8040,Contact,Government,,Rebels,8,,,,,2,,1,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,781/54,14.11.54,KABARE,HZR 779412,Capture,Government,,Rebels,1,,,,,,,1,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,781/54,14.11.54,BARAGWI,HZR 8549,Contact,Government,,Rebels,7,,,,,,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0454_1L,,781/54,13.11.54,FOREST,HZR 834569,Contact,Government,,Rebels,3,,,,,,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,782/54,,EMBU,,Capture,Government,,Rebels,2,,,,,,,2,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,784/54,12.11.54,GATURI,HZR 9737,Capture,Government,,Rebels,1,,,,,,,1,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,784/54,14.11.54,KYENI,HZS 145510,Contact,Government,,Rebels,1,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,784/54,14.11.54,KAGAARI,HZS 101443,Contact,Government,,Rebels,5,,,,,4,1,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,785/54,15.11.54,GATURI,HZS 0151,Contact,Government,,Rebels,1,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,785/54,15.11.54,GATURI,HZS 00353,Contact,Government,,Rebels,1,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,785/54,16.11.54,KAGAARI,HZS 090595,Contact,Government,,Rebels,1,,,,,1,,,,,
7,EMBU,Week ending 17th November 1954,Embu_FCO_141-5768_IMG_0455_1L,,785/54,15.11.54,KYENI,HZS 133508,Contact,Government,,Rebels,Section,,,,,1,Several,,,,
8,Embu,  8 th May to 15 th May 1953 ,Embu_FCO_141-5766_IMG_0151_1L.jpg,,42/53,07.05.1953,Baricho,HZR 7239,Contact,Mau Mau,,Police,,,,,,,,,,,
8,Embu,  8 th May to 15 th May 1953 ,Embu_FCO_141-5766_IMG_0151_1L.jpg,,43/53,07.05.1953,Karinga River,HZR 7753,Contact,Police,,Mau Mau,,,,,,,1,,,,
8,Embu,  8 th May to 15 th May 1953 ,Embu_FCO_141-5766_IMG_0151_1L.jpg,,44/53,11.05.1953,Kigri area,HZR 9751,Capture,KAR,,Mau Mau,,,,,,,,2,,,
8,Embu,  8 th May to 15 th May 1953 ,Embu_FCO_141-5766_IMG_0151_1L.jpg,,45/53,12.05.1953,Kiangai area,HZR 6852,Contact,KAR,,men,4,,,,,,,,,,
8,Embu,  8 th May to 15 th May 1953 ,Embu_FCO_141-5766_IMG_0151_1L.jpg,,46/53,13.05.1953,Mwea,HZR 7223,Contact,KAR & Police,,Mau Mau,,,,,,,1,4,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,77/54,,EMBU,,Murder,Rebels,,Civilians,,6,,,,,,,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,77/54,,EMBU,,Kidnap,Rebels,,Civilians,,3,,,,,,,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,80/54,5.2.54,GATURI,,Contact,Rebels,15-Oct,5 KAR,,,,,,,,,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,81/54,6.2.54,KYENI,,Arson,Rebels,,Schools,,1,,,,,,,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,81/54,6.2.54,KYENI,,Murder,Rebels,,Civilians,,1,,,,,,,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,81/54,10.2.54,NGARIAMA,,Arson,Rebels,,Schools,,1,,,,,,,,,
8,EMBU,Week ending 11th February 1954,Embu_FCO_141-5767_IMG_3016_1L,,82/54,,EMBU,,Contact,Government,,Rebels,13,,,,,13,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,102/53,20.05.1953,Kiandai Market,HZR 6735,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,103/53,19.05.1953,Nr of Riakania,HZR 6546,Assault,Mau Mau,,Civilian,,1,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,104/53 (a),18.05.1953,Baragwe,,Oathing,Mau Mau,,Guard,,1,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,104/53 (b),18.05.1953,Njukini Forest,HZR 9145,Oathing,Mau Mau,,Civilian,,,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,104/53( c) ,18.05.1953,W.of Keringa  R.,HZR 7750,Oathing,Mau Mau,,Civilian,,,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,104/53(f) ,18.05.1953,Kagaari,,Oathing,Mau Mau,,Civilian,,Large,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,105/53,19.05.1953,Mwea,HZR 7817,Arson,Mau Mau,8,"D.C.S camp,House",,1+some,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,105/53(a),,Kianyaga,,Capture,Guard,,Mau Mau,,,,,,,,1,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,105/53(a),14.05.1953,Molinduku ,HZR 9346,Capture,Guard,,Mau Mau,,,,,,,,1,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,105/53(b),,Baricho,,Capture,Guard,,Mau Mau,,,,,,,,9,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,105/53(c),,Kerugoya,,Capture,Guard,,Mau Mau,,,,,,,,1,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0145_1L.jpg,,105/53(d),19.05.1953,Near Kutus,HZR 8438,Contact,Guard,,Mau Mau,,,,,,,1,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0146_1L.jpg,,106/53(a),15.05.1953,Kimbimbi,HZR 8636,Theft,Mau Mau,,Cigarettes & money,,,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0146_1L.jpg,,106/53(a),15.05.1953,Kimbimbi,HZR 8636,Assault,Mau Mau,,Shopkeeper,,1,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0146_1L.jpg,,106/53(b),18.05.1953,Mwea,HZR 8613,Contact,Vet.Officer,,gang,8,,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0146_1L.jpg,,106/53(c),,Thiba R.,HZR 8623,Contact,H.G,,gang,4,,,,,,,,,,
9,Embu,Week ending 21st May 1953,Embu_FCO_141-5766_IMG_0146_1L.jpg,,108/53,12.05.1953,Kianjeggr,HZR 6337,Missing,,,Students,,3,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,89/54,17.2.54,RUNYENGES,,Arson,Rebels,,Schools,,1,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,90/54,,NDIA,,Contact,Government,,Rebels,Gang,,,,,1,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,92/54,13.2.54,NGANDORI,,Murder,Rebels,,EG,,1,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,92/54,16.2.54,INOI,,Murder,Rebels,,Civilians,,1,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,93/54,,N. NGARIAMA,,Kidnap,Rebels,,Civilians,,5,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,93/54,,S. NGARIAMA,,Kidnap,Rebels,,Civilians,,4,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,93/54,17.2.54,GATURI,,Kidnap,Rebels,,EG,,1,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,94/54,17.2.54,KYENI,HZS 0954,Contact,Rebels,Unknown,EG,Party,,,,,1,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,95/54,14.2.54,"KABARE, BARAGWI and NGARIAMA",,Arson,Rebels,,Schools,,13,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,97/54,17.2.54,BARICHO,,Arson,Rebels,Small gang,Houses,,,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3013_1L,,98/54,13.2.54,S. NGARIAMA,,Oathing,Rebels,,Civilians,,8,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3014_1L,2,100/54,,FOREST,,Contact,Government,,Rebels,9,,,,,9,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3014_1L,2,100/54,,RESERVE,,Contact,Government,,Rebels,1,,,,,1,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3014_1L,2,101/54,,EMBU,,Capture,Government,,Rebels,3,,,,,,,,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3014_1L,2,101/54,,EMBU,,Capture,Government,,Rebels,11,,,,,,,11,,,
9,EMBU,Week ending 18th February 1954,Embu_FCO_141-5767_IMG_3014_1L,2,101/54,,EMBU,,Screening,Government,,Civilians,,3,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,798/54,11.11.54,KIINE,HZR 6333,Murder,Rebels,,Civilian,,1,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,799/54,17.11.54,FOREST,HZR 7557,Capture,Government,,Rebels,1,,,,,,,1,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,799/54,17.11.54,KIANJOMORA,,Capture,Home Guard,,Rebels,1,,,,,,,1,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,799/54,17.11.54,MUTIRA,HZR 7047,Theft,Rebels,,Livestock,,2 Sheep,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,799/54,23.11.54,MWERUA,HZR 6444,Contact,Government,,Rebels,1,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,799/54,21.11.54,INOI,HZR 7150,Theft,Rebels,,Livestock,,2 Cows,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,801/54,17.11.54,BARAGWI,HZR 8453,Contact,Government,,Rebels,3,,,1,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0449_1L,,801/54,17.11.54,THIBA RIVER,HZR 7954,Contact,Government,,Rebels,30,,,,,,3,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,801/54,17.11.54,KABARE,HZR 7652,Contact,Government,,Rebels,6,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,801/54,19.11.54,BARAGWI,HZR 8454,Theft,Rebels,,Livestock,,4 Sheep,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,801/54,19.11.54,BARAGWI,HZR 8464,Contact,Government,,Rebels,1,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,801/54,21.11.54,KABARE,HZR 7652,Contact,Government,,Rebels,Small gang,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,801/54,23/24.11.54,NGARIAMA,HZR 8548,Theft,Rebels,,Livestock,,1 Cow,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,17.11.54,KAGAARI,HZS 00357,Contact,Government,,Rebels,1,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,17.11.54,NGANDORI,HZR 9657,Theft,Rebels,,Livestock,,4 Goats,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,18.11.54,KYENI,HZS 1851,Contact,Government,,Rebels,1,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,18.11.54,NGANDORI,HZR 9858,Theft,Rebels,,Livestock,,20 Sheep,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,18.11.54,KAGAARI,HZS 0553,Contact,Government,,Rebels,Gang,,,,,3,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,20.11.54,FOREST,HZR 9461,Contact,Government,,Rebels,1,,,,,1,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,807/54,22/23.11.54,KAGAARI,HZS 0157,Theft,Rebels,,Livestock,,17 Cattle,,,,,,,,,
9,EMBU,Week ending 25th November 1954,Embu_FCO_141-5768_IMG_0450_1L,2,809/54,23.11.54,KAGAARI,HZS 1343,Contact,Government,,Rebels,15-20,,,,,1,1,,,,
10,Embu,  21st May to 28th May 1953 ,Embu_FCO_141-5766_IMG_0143_1L.jpg,,54/53,25.05.1953,Kianyaga,HZR 8951,Capture,Guard,,Mau Mau,,,,,,,,6,,,
10,Embu,  21st May to 28th May 1953 ,Embu_FCO_141-5766_IMG_0143_1L.jpg,,55/53,26.05.1953,Njegge's & Nagonda's Boma,HZR 8626  9905,Confiscate,Guard,,Livestock,,70,,,,,,,,,
10,Embu,  21st May to 28th May 1953 ,Embu_FCO_141-5766_IMG_0143_1L.jpg,,56/53,27.05.1953,Riakanya  ,HZR 6743  ,Contact,Guard,20,Mau Mau,,,,,,,,,,,
10,Embu,  21st May to 28th May 1953 ,Embu_FCO_141-5766_IMG_0143_1L.jpg,,56/53,27.05.1953,Kiandya,HZR 6348,Capture,Gang,4,Guard,,,,,5,,,,,,
10,Embu,  21st May to 28th May 1953 ,Embu_FCO_141-5766_IMG_0143_1L.jpg,,57/53,27.05.1953,Kiaratugu,HZR 8848,Murder,Mau Mau,,Civilian,,,,,,,,,2,,
10,Embu,  21st May to 28th May 1953 ,Embu_FCO_141-5766_IMG_0144_1L.jpg,,58/53,26/27.05.1953,Ruamatrambi River,HZR 6848,Contact,Guard,,Gang,3,,,,,,1,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,24.11.54,KIINE,HZR 6444,Contact,Government,,Rebels,1,,,,,,1,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,24.11.54,MWERUA,HZR 7147,Contact,Government,,Rebels,6,,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,25.11.54,KIINE,HZS 6341,Contact,Government,,Rebels,40,,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,25.11.54,MWERUA,HZR 685458,Contact,Government,,Rebels,6,,,,,1,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,26.11.54,MWERUA,HZR 6641,Contact,Government,,Rebels,1,,,,,1,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,27.11.54,KIINE,HZR 6541,Theft,Rebels,,Livestock,,3 Goats,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,29.11.54,KIINE,HZR 6344,Contact,Government,,Rebels,8,,,,,,2,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,29.11.54,MUTIRA,HZR 7741,Contact,Government,,Rebels,1,,,,,1,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,30.11.54,MUTIRA,HZR 7245,Contact,Government,,Rebels,5,,,,,1,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,30.11.54,KIINE,HZR 667397,Contact,Government,,Rebels,1,,,,,1,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,30.11.54,INOI,HZR 7449,Contact,Government,,Rebels,Small gang,,,,,1,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,822/54,30.11.54,INOI,HZR 7149,Capture,Government,,Rebels,2,,,,,,,2,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,825/54,28.11.54,NGARIAMA,HZR 8652,Theft,Rebels,,Livestock,,4 Goats,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0445_1L,,826/54,27.11.54,BARAGWI,HZR 8344,Theft,Rebels,15-Oct,Food,,posho,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,23.11.54,NGANDORI,HZR 9457,Contact,Government,,Rebels,Small gang,,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,25.11.54,KYENI,HZS 1151,Contact,Government,,Rebels,3,,,,,,1,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,26.11.54,GATURI,HZR 9945,Contact,Government,,Rebels,2,,,,,2,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,26.11.54,GATURI,HZS 098500,Contact,Government,,Rebels,10,,,,,1,1,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,26.11.54,KYENI,HZS 1553,Contact,Government,,Rebels,3,,,,,2,1,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,26.11.54,NGANDORI,HZR 9953,Contact,Government,,Rebels,Gang,,,,,2,,1,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,29.11.54,KYENI,HZS 062571,Theft,Rebels,,Livestock,,1 Ox,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,29.11.54,KAGAARI,HZS 015486,Contact,Government,,Rebels,4,,,,,,,,,,
10,EMBU,Week ending 1st December 1954,Embu_FCO_141-5768_IMG_0446_1L,,829/54,30.11.54,KAGAARI,HZS 114517,Contact,Government,,Rebels,5,,,,,2,,,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,59/53,29.05.1953,Kagio,HZR 7232,Contact,Guard,2,Terrorist,,,,,,,,1,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,60/53,30.05.1953,Karunandi,HZR 8351,Contact,Gang,25,Guard,,,12,5,,,,,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,62/53,31.05.1953,near Kerugoya,HZR 7749,Capture,Guard,,gang,5,,,,,,,5,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,63/53,01.06.1953,Mwea,HZR 8414,Capture,Guard,,gang,4,,,,,,,4,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,64/53,02.06.1953,Kiburi,HZR 6741,Kidnap,Mau Mau,2,Guard,3,1,,,,,,,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,64/53,03.06.1953,,HZR 6241,Capture,Guard,,men,,,,,,,,22,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,65/53,04.06.1953,,HZR 6741,Oathing,Mau Mau,,Civilian,,,,,,,,2,,,
11,Embu,  28th May to 4th June 1953 ,Embu_FCO_141-5766_IMG_0139_1L.jpg,,65/53,04.06.1953,,HZR 6741,Screening,Guard,,Mau Mau,,26,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0441_1L,,845/54,30.11.54,MWERUA,HZR 7329,Murder,Rebels,30,Civilian,,1,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0441_1L,,846/54,30.11.54,INOI,HZR 735495,Contact,Government,,Rebels,Small gang,,,,,1,2,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0441_1L,,847/54,1.12.54,MUTIRA,HZR 710400,Contact,Government,,Rebels,6,,,,,2,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0441_1L,,849/54,1.12.54,INOI,,Capture,Civilan,,Rebels,1,,,,,,,1,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,849/54,2.12.54,KIANDAI,HZR 7134,Oathing,Rebels,30,Civilian,,,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,850/54,3.12.54,MWERUA,HZR 688495,Contact,Government,,Rebels,1,,,,,1,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,850/54,4.12.54,MWERUA,HZR 7644,Contact,Government,,Rebels,6,,,,,1,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,850/54,4.12.54,MWERUA,HZR 675493,Contact,Government,,Rebels,3,,,,,,1,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,851/54,5.12.54,KIINE,HZR 6636,Capture,Government,,Rebels,1,,,,,,,1,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,852/54,6.12.54,KIINE,HZR 6535,Contact,Government,,Rebels,6,,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,856/54,4.12.54,BARAGWI,HZR 795531,Contact,Government,,Rebels,6,,,,,1,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,858/54,30.11.54,KIANDAI,HZR 8246,Oathing,Rebels,10,Civilian,20-30,,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,859/54,30.11.54,RUAMBITI,HZR 8241,Theft,Rebels,4,Civilian,,3 Pangas,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0442_1L,2,860/54,4.12.54,KIANDUMU,HZR 8851,Capture,Government,,Rebels,1,,,,,,,1,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0443_1L,3,862/54,1.12.54,GATURI,HZR 9955,Contact,Government,,Rebels,5,,,,,,2,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0443_1L,3,862/54,1.12.54,KAGAARI,HZS 050474,Theft,Rebels,10,Livestock,,3 Goats,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0443_1L,3,864/54,,KAGAARI,HZS 0258,Contact,Government,,Rebels,30-50,,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0443_1L,3,865/54,,KYENI,HZS 1554,Theft,Rebels,,Livestock,,2 Sheep,,,,,,,,,
11,EMBU,Week ending 9th December 1954,Embu_FCO_141-5768_IMG_0443_1L,3,865/54,,KAGAARI,HZS 065568,Theft,Rebels,,Livestock,,2 Cows,,,,,,,,,
12,Embu,  12th June to18th June 1953 ,Embu_FCO_141-5766_IMG_0132_1L.jpg,1,66/53,05.06.1953,Embu,HZR,Contact,Guard,,Prisoner,1,,,,,1,,,,,
12,Embu,  12th June to18th June 1953 ,Embu_FCO_141-5766_IMG_0132_1L.jpg,1,67/53,05.06.1953,Kiine Loc,HZR 6672,Murder,Mau Mau,,Civilian,,,,,,,,,1,,
12,Embu,  12th June to18th June 1953 ,Embu_FCO_141-5766_IMG_0132_1L.jpg,1,68/53,05.06.1953,Kiringa River area,HZR 7752,Contact,Guard,,gang,15,,,,,1,1,11,,,
